year	country	country_id	hs_category	import_value	export_value
2018	Zambia	zmb	Transportation	864103130.0	36859087.0
2018	Japan	jpn	Transportation	32714566824.0	186984934407.0
2018	Egypt	egy	Transportation	4676888557.0	92337028.0
2018	Uzbekistan	uzb	Transportation	2591619613.0	81684307.0
2018	Burkina Faso	bfa	Transportation	352556021.0	16299088.0
2018	Cayman Islands	cym	Transportation	3692217762.0	962177226.0
2018	Colombia	col	Transportation	5482169054.0	703892740.0
2018	Dominica	dma	Transportation	36276983.0	8938372.0
2018	Montserrat	msr	Transportation	4145312.0	149652.0
2018	Micronesia	fsm	Transportation	7598790.0	936862.0000000001
2018	Paraguay	pry	Transportation	1705505102.0	31133726.0
2018	Malawi	mwi	Transportation	116671183.0	4118793.0
2018	United Kingdom	gbr	Transportation	98599399313.0	75167390927.0
2018	Algeria	dza	Transportation	5668704394.0	12734249.0
2018	Belize	blz	Transportation	103448415.0	23889589.0
2018	Saint Pierre and Miquelon	spm	Transportation	3900704.0	61899.0
2018	Uganda	uga	Transportation	592667716.0	58419964.0
2018	Christmas Island	cxr	Transportation	1770003.0	15768.0
2018	Rwanda	rwa	Transportation	124047438.0	22407325.0
2018	Singapore	sgp	Transportation	23775588489.0	8641261760.0
2018	Vanuatu	vut	Transportation	35589538.0	23466862.0
2018	Bulgaria	bgr	Transportation	3278683709.0	1334395437.0
2018	Uruguay	ury	Transportation	907474025.0	194408705.0
2018	Grenada	grd	Transportation	22301902.0	2144966.0
2018	Mexico	mex	Transportation	47147392834.0	123580984454.0
2018	Malta	mlt	Transportation	3864423541.0	304166721.0
2018	Russia	rus	Transportation	35140864682.0	7858220292.0
2018	Bolivia	bol	Transportation	1227607201.0	24619948.0
2018	Finland	fin	Transportation	7727658233.0	8356778109.0
2018	Sweden	swe	Transportation	22379002051.0	27308080717.0
2018	Saint Kitts and Nevis	kna	Transportation	62228439.0	18886338.0
2018	South Sudan	ssd	Transportation	151542431.0	241734.0
2018	Venezuela	ven	Transportation	398630540.0	14088274.0
2018	Belgium	bel	Transportation	46128943315.0	40997831196.0
2018	Saint Helena	shn	Transportation	5726498.0	101183.0
2018	Ethiopia	eth	Transportation	1268649221.0	6960966.0
2018	Gambia	gmb	Transportation	56125557.0	542575.0
2018	Niue	niu	Transportation	3393863.0	122021950.0
2018	Mauritius	mus	Transportation	444005816.0	158083062.0
2018	Romania	rou	Transportation	11056666368.0	16035630360.0
2018	Fiji	fji	Transportation	394787145.0	18675258.0
2018	Hungary	hun	Transportation	14131751293.0	20728526664.0
2018	Cuba	cub	Transportation	665375802.0	3111003.0
2018	Turkey	tur	Transportation	19077859700.0	31402192930.0
2018	Lesotho	lso	Transportation	122880091.0	6614412.0
2018	Bonaire	bes	Transportation	4980703.0	123282.0
2018	San Marino	smr	Transportation	22622789.0	1140064.0
2018	Papua New Guinea	png	Transportation	363399605.0	14380796.0
2018	Northern Mariana Islands	mnp	Transportation	13840022.0	39943.0
2018	Portugal	prt	Transportation	12831354384.0	10017499056.0
2018	Indonesia	idn	Transportation	12035369846.0	8700822037.0
2018	Pitcairn Islands	pcn	Transportation	293291.0	6796.0
2018	Chile	chl	Transportation	11274724451.0	897917826.0
2018	Ukraine	ukr	Transportation	4542088717.0	677611621.0
2018	Bahrain	bhr	Transportation	2245235723.0	467667813.0
2018	Guinea-Bissau	gnb	Transportation	18999190.0	79529.0
2018	Thailand	tha	Transportation	14281247709.0	36179890189.0
2018	Hong Kong	hkg	Transportation	10921284048.0	1694441449.0
2018	Zimbabwe	zwe	Transportation	678400601.0	10910942.0
2018	Nigeria	nga	Transportation	3477233938.0	45441569.0
2018	Azerbaijan	aze	Transportation	1311853701.0	25954199.0
2018	Moldova	mda	Transportation	378594439.0	20730535.0
2018	Democratic Republic of the Congo	cod	Transportation	538881509.0	38981744.0
2018	Qatar	qat	Transportation	6050108787.0	192330809.0
